Blog	conversation	report	community	thought	took	tech	since	including	him	major	american	yes	weinstein	real	continue	year	minutes	head	together	myself	never	means	words	us	me	espn	policy	no	reality	did	live	russian	entire	oh	truth	original	deal	star	sex	public	key	clear	meet	love	official	recently	stop	days	true	don	friends	twitter	started	big	making	help	site	tv	coming	according	saw	same	web	hope	worked	times	quickly	important	wasn	learning	name	her	happened	company	jemele	way	add	read	care	human	won	ads	most	open	black	rather	someone	drive	m	three	especially	update	lives	stuff	simple	nice	building	while	browser	content	lot	didn	later	store	less	campaign	business	d	couple	steve	friday	photos	obama	away	again	save	x	saying	instead	state	into	next	wrote	than	computer	america	cool	trailer	likely	something	during	following	works	course	p	remember	much	available	players	high	done	private	around	work	ago	back	use	project	video	mr	harvey	music	future	best	stories	attention	comes	build	room	answer	bad	include	k	blog	check	rule	election	national	interview	car	may	online	must	ideas	trying	million	itself	start	happens	went	health	seems	top	its	youtube	very	wrong	las	john	taken	living	early	b	san	gave	see	per	anyone	told	results	women	power	keep	mind	level	successful	exactly	news	spend	stand	search	art	war	com	doesn	director	interesting	bit	press	paper	right	watch	doing	weeks	announced	u	posts	everything	need	please	short	down	version	playing	administration	feature	over	hour	fact	even	face	free	morning	turn	day	make	left	each	group	personal	follow	wanted	still	second	donald	across	looks	question	writing	gets	home	take	easy	job	talking	does	city	world	also	smart	set	plans	country	small	mean	pick	book	dead	both	taking	kind	notes	made	ad	then	often	needs	network	came	maybe	hill	possible	buy	understand	digital	good	little	place	iphone	hit	james	social	create	enough	he	change	say	woman	house	says	everyone	want	yet	five	probably	president	users	police	game	space	feel	come	know	example	created	united	ll	person	would	recent	meeting	reading	become	hear	another	which	movie	really	control	these	give	actually	user	such	soon	special	cnn	too	late	before	thousands	reasons	source	piece	put	line	well	pretty	week	man	go	quite	gun	seen	lots	white	used	few	found	trump	york	any	vegas	two	night	knew	because	without	post	information	great	blogging	links	today	shows	videos	share	story	why	needed	takes	website	learn	look	based	show	amp	able	ways	money	apple	security	camera	only	other	try	tools	play	hollywood	should	were	death	app	past	large	being	once	side	list	though	else	family	bring	had	posted	sometimes	goes	page	part	life	month	fun	running	finally	full	phone	nbsp	let	several	weekend	october	always	quick	half	tips	call	cars	study	called	things	longer	email	amazon	through	americans	matter	better	event	whether	plan	least	where	ai	government	center	market	already	box	finding	age	facebook	article	haven	whole	via	different	figure	under	stay	media	four	support	political	readers	mdash	guy	process	his	years	products	might	ios	ever	old	order	books	thing	single	companies	along	machine	shot	idea	almost	end	tell	hands	said	talk	team	technology	point	close	having	worst	anything	film	mark	system	asked	sure	service	internet	case	product	number	success	them	text	run	against	sunday	could	thanks	those	appeared	months	problem	data	perhaps	google	far	focus	favorite	o	popular	reason	getting	between	photo	access	others	self	series	going	until	th	hours	own	design	related	off	find	got	view	action	isn	many	she	am	write	office	looking	young	using	sexual	long	monday	co	shooting	hard	think	every	deep	program	makes	latest	nothing	working	states
Wired	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	1	3	1	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	2	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1	1	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	1	4	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	1	0	1	1	1	1	0
Daily Kos	3	6	2	4	8	0	7	7	25	3	18	4	0	1	6	24	2	8	4	0	11	1	6	31	5	0	9	26	5	10	8	9	5	0	5	3	25	1	6	9	1	14	2	0	8	2	2	5	6	13	7	7	1	8	10	7	1	1	9	9	2	8	1	0	2	14	4	12	2	1	0	30	3	7	0	23	1	6	13	5	6	21	24	9	18	2	9	2	2	4	1	1	1	0	1	2	1	13	0	2	4	7	1	2	11	22	4	8	0	7	7	1	4	13	9	0	4	8	7	23	29	13	5	28	1	12	1	0	10	8	11	3	1	6	0	1	19	1	12	10	5	3	8	15	9	21	10	0	4	30	0	3	2	7	5	3	3	1	2	7	6	3	3	1	0	2	8	23	4	0	11	7	9	3	5	15	1	7	2	6	24	9	10	25	8	15	7	10	4	6	3	9	0	6	3	10	2	7	9	0	11	8	8	2	4	6	3	12	0	5	3	0	4	5	8	4	0	4	8	0	21	2	7	5	3	17	0	4	9	3	3	10	1	0	14	2	30	0	6	30	2	11	13	3	20	14	9	4	11	4	1	2	10	3	34	6	0	5	2	5	6	8	2	5	11	13	6	17	25	1	5	3	28	3	2	1	3	2	7	1	3	1	7	5	11	3	0	2	5	5	3	2	3	4	0	12	15	9	0	3	1	3	3	5	122	5	12	7	27	9	15	7	5	3	3	25	0	12	7	4	1	1	15	1	3	13	11	1	64	6	4	0	6	1	12	36	1	12	9	20	10	5	0	8	3	4	1	15	3	14	2	4	1	3	11	4	17	3	19	6	8	1	22	2	0	41	5	15	6	132	11	21	10	21	4	3	30	12	7	4	5	0	1	9	6	0	1	4	15	1	3	0	2	4	3	23	7	5	4	13	0	6	1	24	24	6	4	6	0	14	38	3	4	7	2	17	7	2	9	9	2	5	3	24	1	1	3	1	11	3	0	2	6	3	2	0	0	11	5	6	14	8	2	6	0	4	0	3	11	6	4	2	0	12	14	1	4	2	12	6	5	16	0	8	7	3	5	2	2	2	10	2	2	8	6	6	4	10	3	4	2	6	8	0	0	1	2	67	19	1	7	0	7	7	7	2	19	4	3	2	0	2	8	7	6	1	2	50	12	5	3	12	3	5	10	7	0	5	10	8	4	6	0	0	0	6	1	25	1	7	11	15	32	3	21	4	3	7	1	5	5	14	1	0	3	1	7	8	5	0	2	5	4	2	16	6	1	1	16	0	2	10	5	13	1	11	8	22	26	6	0	7	2	3	9	3	7	4	2	7	6	16	9	2	9	10	3	9	9	23
ScienceBlogs	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	2	0	2	0	1	0	0	0	0	2	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	3	1	0	0	1	0	2	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
MichelleMalkin.com	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Joel on Software	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Google Operating System	0	0	1	0	0	0	2	4	0	0	0	0	0	1	0	2	0	1	0	0	2	1	0	0	1	0	0	6	0	3	2	0	1	0	0	1	0	1	0	1	0	2	1	0	0	2	1	0	0	3	0	0	2	0	0	1	4	2	0	2	0	3	3	1	0	0	1	2	0	2	2	0	0	0	0	1	7	1	1	0	1	1	3	4	0	0	0	1	3	0	0	0	0	0	0	0	0	5	1	2	1	0	1	3	0	0	0	1	0	0	0	6	0	0	2	0	1	0	0	0	3	5	0	5	0	0	1	0	0	2	0	0	2	0	0	0	2	3	0	4	0	1	2	0	0	4	7	0	3	0	0	0	0	1	0	0	1	0	0	1	0	1	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	3	13	2	0	0	0	0	2	1	4	0	0	4	1	0	0	9	1	1	1	1	1	0	0	1	0	0	53	0	0	2	2	0	3	0	1	0	1	0	0	0	0	0	0	0	2	0	0	5	3	2	0	11	1	0	1	4	0	1	0	5	3	2	2	4	0	0	0	0	5	0	0	0	3	3	0	1	6	1	1	0	0	0	0	2	9	3	1	0	0	0	0	6	0	0	2	1	0	0	0	2	3	1	1	3	1	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	3	0	1	0	0	2	3	0	0	1	0	3	2	2	0	1	0	4	7	0	0	7	0	0	1	0	0	2	0	4	12	2	1	1	3	0	1	0	1	1	3	0	0	0	0	0	3	1	0	0	1	2	2	0	2	7	0	0	0	0	0	0	1	4	0	0	3	0	0	2	0	2	0	1	1	1	0	1	1	18	5	3	0	1	0	0	0	0	3	1	2	0	2	1	0	0	2	2	10	9	3	5	4	0	1	0	0	9	0	0	0	0	0	7	1	0	0	1	2	0	0	0	10	0	2	1	0	1	0	2	0	11	1	0	0	0	1	0	0	0	0	0	0	4	1	4	1	0	0	0	0	1	0	2	0	0	1	0	0	2	0	1	6	0	0	0	0	1	0	2	9	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	3	0	4	0	1	0	0	0	0	3	0	0	0	1	0	1	0	0	1	1	3	0	0	0	0	0	0	5	0	1	0	1	0	2	0	0	3	4	0	1	0	0	0	3	0	0	0	1	0	108	0	0	2	0	1	1	0	4	2	1	1	0	0	1	0	1	0	2	1	12	2	1	0	1	0	0	4	0	0	0	0	0	0	5	0	5	0	0	0	0	0	1	0	2	2	2	0	0	0
The Official Google Blog	3	1	3	2	1	6	4	7	0	3	1	1	0	4	0	19	4	2	10	1	3	4	2	9	11	0	2	12	7	3	6	0	3	0	1	5	0	2	0	1	2	4	3	10	0	0	2	3	0	6	3	0	7	3	7	39	2	3	13	2	0	6	1	3	2	6	0	13	0	12	1	2	1	2	0	23	4	5	1	0	4	0	14	6	4	1	4	3	5	7	2	1	2	0	8	1	7	11	2	14	6	2	4	14	4	1	8	6	0	0	0	17	0	3	4	4	1	3	3	3	25	11	0	19	6	0	1	0	1	4	0	2	11	1	0	2	9	18	0	16	9	1	19	21	4	13	31	8	8	0	0	15	7	28	10	2	13	7	8	4	0	2	7	2	5	1	0	1	0	0	5	7	0	1	1	2	2	7	1	2	0	0	7	8	3	5	0	5	1	2	3	2	0	1	1	17	4	1	1	2	20	7	7	3	2	3	3	12	4	0	27	16	0	2	1	4	0	0	2	2	19	2	2	3	1	18	0	2	18	3	1	8	0	5	0	5	23	1	2	27	2	23	5	10	22	21	1	1	4	4	2	3	4	4	0	7	4	3	2	3	55	18	7	2	2	3	2	25	36	13	16	0	2	4	2	0	3	2	14	3	0	2	12	1	5	1	3	3	1	0	0	3	10	2	10	6	2	2	1	0	1	1	8	4	2	9	17	2	4	1	6	16	3	2	2	0	5	0	1	4	2	13	12	5	3	1	31	1	8	1	10	1	0	9	3	26	0	7	12	22	8	2	0	5	9	3	0	7	2	7	2	0	1	2	5	1	5	1	15	0	15	2	2	1	2	4	3	15	1	0	3	16	4	10	3	0	4	11	2	20	16	0	2	30	1	7	7	1	3	0	0	3	16	11	5	7	6	16	6	0	0	5	26	12	18	6	2	20	0	7	12	1	9	6	1	2	3	0	1	0	0	17	6	7	0	3	0	1	4	7	2	8	2	1	4	29	0	14	2	0	6	9	8	3	0	3	0	3	4	17	3	3	0	16	0	3	18	4	3	0	1	8	16	0	2	1	7	0	2	0	0	0	3	3	1	8	1	2	2	1	2	4	0	2	0	0	5	3	5	17	4	2	10	2	7	3	2	2	1	6	16	3	0	5	4	1	8	3	10	2	12	4	2	6	0	4	0	1	0	1	6	3	1	4	1	4	3	23	6	4	2	0	6	2	3	0	5	1	3	1	191	1	8	18	0	1	0	13	3	4	12	3	0	3	7	4	3	5	7	8	1	8	13	4	10	4	1	8	3	0	0	2	8	4	9	0	9	0	4	6	1	7	9	2	2	10	3	4	7	1
Sifry's Alerts - David Sifry	2	12	0	2	1	1	2	2	2	0	0	1	0	2	3	10	3	0	6	1	0	8	0	14	8	0	0	3	1	2	1	0	1	1	0	0	0	0	0	3	0	0	1	4	0	0	3	3	0	7	4	1	2	4	8	7	6	1	2	0	0	3	6	2	1	5	2	0	0	0	2	2	0	1	0	4	1	5	0	0	3	1	8	3	0	0	0	1	11	3	4	4	0	2	3	0	3	12	0	1	9	0	1	0	5	0	2	4	1	0	0	3	0	2	0	3	3	0	0	9	10	11	0	12	4	0	0	0	1	8	3	0	1	4	0	1	11	2	0	2	6	8	5	7	1	1	6	2	3	0	0	1	2	2	0	0	2	5	2	0	0	2	3	25	3	0	0	0	0	0	0	1	0	1	1	4	1	2	0	1	0	0	10	2	0	10	1	0	2	3	0	0	1	2	0	3	10	3	1	1	4	0	1	1	0	2	1	1	2	0	3	1	0	1	1	0	10	6	0	3	6	1	1	1	0	4	5	2	6	1	0	3	2	3	0	3	13	2	3	13	0	2	1	5	8	15	0	3	4	4	2	1	14	5	0	0	4	0	2	1	2	8	2	1	1	3	7	8	16	0	6	0	2	3	4	0	7	1	5	2	3	0	0	2	6	3	1	3	2	2	0	2	4	1	3	5	0	7	0	4	0	1	6	4	2	1	4	0	1	0	1	20	2	5	2	1	0	0	1	0	2	6	7	4	0	0	17	1	2	0	1	1	0	0	2	11	7	16	1	3	5	1	0	1	2	0	0	4	1	5	0	0	1	1	7	3	16	2	3	0	7	3	0	0	2	1	6	2	9	0	1	2	0	5	0	0	0	0	4	22	13	13	0	6	0	0	1	1	8	2	2	0	2	4	4	3	1	1	1	8	0	0	17	8	8	2	1	3	0	4	5	1	1	0	4	0	5	0	1	2	0	0	0	9	5	1	0	0	8	0	3	6	0	0	4	1	2	5	0	1	0	1	0	3	0	3	0	2	2	10	0	3	0	6	0	1	2	0	0	1	1	10	0	0	1	7	2	0	0	0	0	0	1	1	2	2	0	1	4	2	5	2	0	0	0	0	0	2	2	0	1	0	2	8	0	2	1	2	3	2	0	2	0	1	6	2	0	0	0	6	1	0	2	0	0	0	0	0	0	3	6	2	2	0	8	3	0	4	1	2	0	1	4	5	13	0	2	1	4	0	1	3	2	1	1	4	1	4	1	1	0	0	2	0	12	1	1	3	3	0	1	11	3	6	0	1	2	8	2	2	0	0	7	1	2	0	5	0	1	0	4	6	1	2	0	4	2	2	4	0
The Viral Garden	4	0	11	11	10	0	3	1	3	0	0	1	0	3	1	19	1	1	5	5	10	5	1	16	57	0	2	19	1	13	3	0	1	1	0	1	1	0	0	0	5	0	5	2	1	6	2	10	1	15	12	61	14	12	4	10	12	1	11	2	2	16	1	2	5	1	1	4	8	2	10	5	4	13	0	27	9	10	1	1	11	1	23	2	1	1	14	1	18	3	1	2	0	3	2	2	4	8	1	15	14	14	5	1	5	0	12	5	6	0	0	0	0	3	3	1	0	4	5	1	9	9	7	10	0	2	5	0	7	9	5	23	1	3	0	3	6	0	0	1	3	0	7	17	5	20	20	4	0	0	0	6	1	7	3	7	2	5	1	3	3	3	1	48	7	3	0	0	0	0	12	8	3	6	7	0	7	4	2	7	0	3	4	11	0	23	4	2	1	0	0	3	2	3	0	22	2	3	3	5	0	5	3	0	4	2	0	1	2	2	3	0	0	22	2	0	5	8	0	0	7	0	13	4	0	0	9	0	8	3	1	2	1	0	0	0	15	4	5	19	0	6	0	2	17	20	10	5	4	6	16	12	14	3	0	0	1	0	5	1	0	7	2	1	4	5	0	4	10	2	0	0	0	5	8	1	0	1	6	4	0	0	8	11	23	9	6	4	1	4	0	1	2	13	1	17	3	3	0	2	0	135	10	5	17	3	6	0	0	0	10	34	1	0	12	0	10	0	1	6	2	8	22	4	7	0	17	6	31	4	0	8	10	4	9	19	0	10	0	25	6	11	4	8	3	1	0	6	1	11	1	3	0	0	4	3	12	3	5	1	14	1	0	3	0	0	1	26	10	0	2	8	2	8	3	8	38	2	43	4	13	26	9	4	2	0	8	2	21	2	1	3	8	2	0	5	3	2	6	3	1	0	0	16	19	4	7	2	0	16	36	0	0	2	3	21	3	1	12	5	8	0	2	40	0	7	2	7	7	2	1	2	0	2	3	0	14	8	9	2	1	6	2	3	2	1	0	6	5	6	2	3	0	4	0	2	10	28	1	0	5	18	0	0	3	1	2	1	1	7	14	2	3	1	8	3	3	1	2	123	5	2	1	10	0	0	1	8	6	2	5	0	3	2	1	0	17	1	30	4	0	0	18	2	5	11	0	13	1	5	0	6	6	2	1	1	0	2	0	1	11	5	0	8	2	5	4	50	0	0	0	2	8	2	12	0	7	6	0	0	0	1	2	2	6	6	10	6	2	0	0	9	4	9	10	0	9	4	24	0	0	5	9	10	5	1	6	25	2	25	9	0	10	0	30	0	8	0	0	0	0	32	10	0	0	4	2	2	1	0
Captain's Quarters	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	4	3	0	0	0	0	0	0	0	1	1	0	0	2	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	0	0	2	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	4	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	2	0	1	0	1	1	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	1
